img_id,img_filename,y,split,place,place_filename
1,001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,1,2,1,/o/ocean/00002178.jpg
2,001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,1,0,1,/l/lake/natural/00000065.jpg
3,001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,1,2,0,/b/bamboo_forest/00000131.jpg
4,001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,1,0,1,/o/ocean/00001268.jpg
5,001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,1,0,1,/o/ocean/00003147.jpg
6,001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,1,2,1,/l/lake/natural/00002698.jpg
7,001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,1,0,1,/o/ocean/00003917.jpg
8,001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,1,1,1,/o/ocean/00001505.jpg
9,001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,1,0,1,/l/lake/natural/00000560.jpg
10,001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg,1,2,1,/o/ocean/00002073.jpg
11,001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,1,0,1,/o/ocean/00001721.jpg
12,001.Black_footed_Albatross/Black_Footed_Albatross_0086_796062.jpg,1,2,0,/b/bamboo_forest/00004105.jpg
13,001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,1,2,0,/b/bamboo_forest/00003253.jpg
14,001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,1,2,0,/b/bamboo_forest/00000537.jpg
15,001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,1,0,1,/o/ocean/00002053.jpg
16,001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,1,2,0,/b/bamboo_forest/00004439.jpg
17,001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg,1,2,1,/o/ocean/00004537.jpg
18,001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,1,0,1,/o/ocean/00003211.jpg
19,001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg,1,2,1,/l/lake/natural/00001495.jpg
20,001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,1,0,1,/o/ocean/00002572.jpg
21,001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,1,0,1,/o/ocean/00003685.jpg
22,001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,1,2,0,/f/forest/broadleaf/00000350.jpg
23,001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg,1,0,1,/l/lake/natural/00002406.jpg
24,001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg,1,2,1,/l/lake/natural/00004881.jpg
25,001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg,1,2,1,/l/lake/natural/00004601.jpg
26,001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg,1,2,1,/o/ocean/00002298.jpg
27,001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,1,2,1,/o/ocean/00003669.jpg
28,001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,1,2,0,/f/forest/broadleaf/00003480.jpg
29,001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,1,2,0,/f/forest/broadleaf/00002274.jpg
30,001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg,1,0,1,/l/lake/natural/00002186.jpg
31,001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,1,1,0,/f/forest/broadleaf/00002280.jpg
32,001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg,1,0,1,/o/ocean/00000364.jpg
33,001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,1,2,1,/o/ocean/00001113.jpg
34,001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,1,2,0,/f/forest/broadleaf/00000960.jpg
35,001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg,1,0,0,/f/forest/broadleaf/00003512.jpg
36,001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,1,0,1,/o/ocean/00000788.jpg
37,001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,1,0,1,/o/ocean/00002332.jpg
38,001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,1,2,1,/l/lake/natural/00003318.jpg
39,001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,1,2,0,/b/bamboo_forest/00000597.jpg
40,001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg,1,0,1,/o/ocean/00002174.jpg
41,001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,1,0,1,/l/lake/natural/00001006.jpg
42,001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,1,0,0,/f/forest/broadleaf/00002052.jpg
43,001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,1,0,1,/o/ocean/00000901.jpg
44,001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg,1,2,1,/o/ocean/00003632.jpg
45,001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,1,2,0,/b/bamboo_forest/00004648.jpg
46,001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg,1,0,1,/o/ocean/00000269.jpg
47,001.Black_footed_Albatross/Black_Footed_Albatross_0050_796125.jpg,1,2,0,/f/forest/broadleaf/00003543.jpg
48,001.Black_footed_Albatross/Black_Footed_Albatross_0078_796126.jpg,1,2,0,/b/bamboo_forest/00002884.jpg
49,001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,1,0,1,/l/lake/natural/00003328.jpg
50,001.Black_footed_Albatross/Black_Footed_Albatross_0045_796129.jpg,1,2,0,/b/bamboo_forest/00000021.jpg
51,001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg,1,0,1,/o/ocean/00000705.jpg
52,001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133.jpg,1,2,0,/b/bamboo_forest/00000605.jpg
53,001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg,1,0,1,/o/ocean/00004916.jpg
54,001.Black_footed_Albatross/Black_Footed_Albatross_0003_796136.jpg,1,2,1,/l/lake/natural/00003331.jpg
55,001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,1,1,1,/o/ocean/00000735.jpg
56,001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,1,0,1,/l/lake/natural/00000719.jpg
57,001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg,1,2,0,/b/bamboo_forest/00000737.jpg
58,001.Black_footed_Albatross/Black_Footed_Albatross_0063_796141.jpg,1,0,1,/l/lake/natural/00004217.jpg
59,001.Black_footed_Albatross/Black_Footed_Albatross_0058_796074.jpg,1,2,0,/f/forest/broadleaf/00002806.jpg
60,001.Black_footed_Albatross/Black_Footed_Albatross_0081_426.jpg,1,0,1,/l/lake/natural/00000925.jpg
11072,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0069_181248.jpg,0,0,0,/f/forest/broadleaf/00000439.jpg
11073,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0012_181765.jpg,0,0,0,/b/bamboo_forest/00003697.jpg
11074,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0066_182253.jpg,0,0,0,/f/forest/broadleaf/00004300.jpg
11075,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0073_180994.jpg,0,0,0,/f/forest/broadleaf/00001765.jpg
11076,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0050_180751.jpg,0,0,0,/b/bamboo_forest/00003847.jpg
11077,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0079_181010.jpg,0,2,0,/b/bamboo_forest/00000793.jpg
11078,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0049_180755.jpg,0,2,0,/f/forest/broadleaf/00003556.jpg
11079,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0025_180756.jpg,0,2,0,/f/forest/broadleaf/00000342.jpg
11080,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0106_180757.jpg,0,2,0,/b/bamboo_forest/00002644.jpg
11081,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0016_180760.jpg,0,2,0,/f/forest/broadleaf/00002190.jpg
11082,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0099_180766.jpg,0,0,0,/b/bamboo_forest/00003907.jpg
11083,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0021_182303.jpg,0,0,0,/f/forest/broadleaf/00002543.jpg
11084,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0055_180768.jpg,0,0,0,/b/bamboo_forest/00000698.jpg
11085,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0015_182320.jpg,0,2,0,/b/bamboo_forest/00000645.jpg
11086,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0010_180772.jpg,0,0,0,/b/bamboo_forest/00002587.jpg
11087,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0115_180775.jpg,0,1,1,/l/lake/natural/00002036.jpg
11088,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0125_180780.jpg,0,0,0,/f/forest/broadleaf/00001547.jpg
11089,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0058_182317.jpg,0,0,0,/f/forest/broadleaf/00000295.jpg
11090,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0026_180783.jpg,0,1,0,/f/forest/broadleaf/00000027.jpg
11091,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0075_180788.jpg,0,2,0,/b/bamboo_forest/00004141.jpg
11092,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0077_182334.jpg,0,0,0,/f/forest/broadleaf/00002848.jpg
11093,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0020_182335.jpg,0,0,0,/f/forest/broadleaf/00004648.jpg
11094,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0081_182336.jpg,0,2,1,/o/ocean/00004525.jpg
11095,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0103_180803.jpg,0,0,0,/f/forest/broadleaf/00002118.jpg
11096,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0028_181830.jpg,0,0,0,/f/forest/broadleaf/00001223.jpg
11097,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0039_180814.jpg,0,2,0,/f/forest/broadleaf/00004227.jpg
11098,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0032_181587.jpg,0,2,1,/l/lake/natural/00004386.jpg
11099,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0112_180827.jpg,0,1,1,/l/lake/natural/00003023.jpg
11100,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0044_181122.jpg,0,2,0,/f/forest/broadleaf/00004460.jpg
11101,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0104_181616.jpg,0,0,0,/b/bamboo_forest/00001608.jpg
11102,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0097_181363.jpg,0,2,0,/b/bamboo_forest/00000016.jpg
11103,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0008_180858.jpg,0,2,1,/l/lake/natural/00002057.jpg
11104,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0078_181887.jpg,0,2,0,/f/forest/broadleaf/00002262.jpg
11105,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0071_180866.jpg,0,2,0,/b/bamboo_forest/00000287.jpg
11106,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0086_181891.jpg,0,0,0,/f/forest/broadleaf/00000504.jpg
11107,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0057_182154.jpg,0,0,0,/f/forest/broadleaf/00002271.jpg
11108,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0017_181131.jpg,0,0,0,/b/bamboo_forest/00003477.jpg
11109,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0002_180879.jpg,0,0,0,/b/bamboo_forest/00000094.jpg
11110,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0089_181907.jpg,0,2,1,/l/lake/natural/00000330.jpg
11111,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0035_181913.jpg,0,2,1,/o/ocean/00000485.jpg
11112,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0042_181062.jpg,0,0,0,/b/bamboo_forest/00000655.jpg
11113,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0120_181420.jpg,0,0,0,/f/forest/broadleaf/00001846.jpg
11114,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0054_182031.jpg,0,2,1,/o/ocean/00000808.jpg
11115,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0070_181182.jpg,0,2,0,/b/bamboo_forest/00000390.jpg
11116,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0110_181188.jpg,0,0,0,/f/forest/broadleaf/00003404.jpg
11117,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0023_181958.jpg,0,2,1,/o/ocean/00001807.jpg
11118,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0074_180936.jpg,0,2,1,/l/lake/natural/00001107.jpg
11119,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0091_180938.jpg,0,2,1,/o/ocean/00002587.jpg
11120,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0088_180941.jpg,0,0,0,/b/bamboo_forest/00002841.jpg
11121,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0022_181969.jpg,0,0,0,/f/forest/broadleaf/00004987.jpg
11122,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0056_180946.jpg,0,2,0,/f/forest/broadleaf/00001633.jpg
11123,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0095_180948.jpg,0,2,0,/b/bamboo_forest/00001673.jpg
11124,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0068_180949.jpg,0,2,0,/b/bamboo_forest/00000772.jpg
11125,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0092_182235.jpg,0,2,0,/b/bamboo_forest/00004334.jpg
11126,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0108_180956.jpg,0,2,1,/o/ocean/00003005.jpg
11127,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0009_180961.jpg,0,0,0,/f/forest/broadleaf/00003222.jpg
11128,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0007_182242.jpg,0,2,1,/o/ocean/00001953.jpg
11129,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0114_181092.jpg,0,0,0,/f/forest/broadleaf/00004392.jpg
11130,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0031_180975.jpg,0,2,1,/o/ocean/00000521.jpg
11131,189.Red_bellied_Woodpecker/Red_Bellied_Woodpecker_0123_182116.jpg,0,2,0,/b/bamboo_forest/00000960.jpg